species,web_local,mode
Cricetulus_griseus,web=GCA_000223135.1
Crocidura_indochinensis,web=GCA_004027635.1
Crocodylus_porosus,web=GCA_001723895.1
Crocuta_crocuta,web=GCA_008692635.1
Cromileptes_altivelis,web=GCA_013133815.1
Crotalus_viridis_viridis,web=GCA_003400415.2
Crotophaga_sulcirostris,web=GCA_013397455.1
Cryptoprocta_ferox,web=GCA_004023885.1
Crypturellus_undulatus,web=GCA_013389825.1
Ctenochromis_horei,web=GCA_015103775.1
Ctenodactylus_gundi,web=GCA_004027205.1
Ctenomys_sociabilis,web=GCA_004027165.1
Cuculus_canorus,web=GCA_000709325.1
Culter_alburnus,web=GCA_009869775.1
Cuniculus_paca,web=GCA_004365215.1
Cunningtonia_longiventralis,web=GCA_015106375.1
Cuora_mccordi,web=GCA_003846335.1
Cyanistes_caeruleus,web=GCA_002901205.1
Cyanoderma_ruficeps,web=GCA_008694505.1
Cyathopharynx_furcifer,web=GCA_015103655.1
Cyclopterus_lumpus,web=GCA_009769545.1
Cygnus_olor,web=GCA_009769625.2
Cynoglossus_semilaevis,web=GCA_000523025.1
Cynomys_gunnisoni,web=GCA_011316645.1
Cynopterus_brachyotis,web=GCA_009793145.1
Cyphotilapia_gibberosa,web=GCA_015105655.1
Cyprichromis_zonatus,web=GCA_015052445.1
Cyprinodon_variegatus,web=GCA_000732505.1
Cyprinus_carpio,web=GCA_000951615.2
Cyttopsis_rosea,web=GCA_900302355.1
Dactylopterus_volitans,web=GCA_901007715.1
Dallia_pectoralis,web=GCA_016801195.1
Damaliscus_lunatus,web=GCA_006408505.1
Danio_kyathit,web=GCA_903798195.1
Danionella_translucida,web=GCA_007224835.1
Daphoenositta_chrysoptera,web=GCA_013397915.1
Dasyornis_broadbenti,web=GCA_013397935.1
Dasyprocta_punctata,web=GCA_004363535.1
Dasypus_novemcinctus,web=GCA_000208655.2
Datnioides_undecimradiatus,web=GCA_008933995.1
Daubentonia_madagascariensis,web=GCA_004027145.1
Delphinapterus_leucas,web=GCA_002288925.3
Dendrocopos_noguchii,web=GCA_004320165.1
Dendrolagus_dorianus_notatus,web=GCA_904810745.1
Denticeps_clupeoides,web=GCA_900700375.2
Dermatemys_mawii,web=GCA_007922305.1
Dermochelys_coriacea,web=GCA_009764565.4
Desmodus_rotundus,web=GCA_002940915.2
Dicaeum_eximium,web=GCA_013396995.1
Dicentrarchus_labrax,web=GCA_905237075.1
Dicerorhinus_sumatrensis_harrissoni,web=GCA_014189135.1
Diceros_bicornis,web=GCA_004027315.2
Dicrurus_megarhynchus,web=GCA_013399195.1
Dinomys_branickii,web=GCA_004027595.1
Diphyllodes_magnificus,web=GCA_003713285.1
Diplodus_sargus,web=GCA_903131615.1
Dipodomys_stephensi,web=GCA_004024685.1
Diretmoides_pauciradiatus,web=GCA_900660315.1
Diretmus_argenteus,web=GCA_900660295.1
Dissostichus_mawsoni,web=GCA_011823955.1
Dolichotis_patagonum,web=GCA_004027295.1
Donacobius_atricapilla,web=GCA_013397315.1
Dromaius_novaehollandiae,web=GCA_003342905.1
Dromas_ardeola,web=GCA_013398915.1
Drymodes_brunneopygia,web=GCA_013400955.1
